11,9,재료와 도구 공구 안내,"강의에서 사용하는 도구는 학원 공동구매를 통해 구매가 가능합니다. 공동구매는 강의 마지막수업 전수업때 신청자를 받습니다. 재료 공동구매는 매주 월요일에서 화요일에 학원에서 신청내용을 받고있습니다. 신청을 원하시는분은 강사님께 말씀드려 신청하시거나 인포로 오셔서 이름, 원하는 재료 를 말씀해주시면 됩니다. 재료비는 따로 개인 메세지를 통해 알려드리고 있고 결제는 목요일날 재료받으면서 합니다.",teacher,2024-07-02
12,9,8월 7일 안내,강사님의 개인 사정으로 8월 7일 수요일 수업 불가하셔서 다른 강사님이 수업을 진행할 예정입니다.,teacher,2024-07-02
13,13,휴강일 안내,8월 15일 광복절 16일 학원 휴일로 수업 없습니다.,teacher,2024-07-02
14,13,101호 실습실 고장안내,현재 101호 실습실 배수구 막힘으로 실습실 이용이 불가능합니다. 다른 실습실인 302호는 이용이 가능합니다. 실습실 수리 일정은 일주일정도가 걸릴 예정이라 다음주부터 사용가능합니다.,teacher,2024-07-02
15,13,재료와 도구 공구 안내,"강의에서 사용하는 도구는 학원 공동구매를 통해 구매가 가능합니다. 공동구매는 강의 마지막수업 전수업때 신청자를 받습니다. 재료 공동구매는 매주 월요일에서 화요일에 학원에서 신청내용을 받고있습니다. 신청을 원하시는분은 강사님께 말씀드려 신청하시거나 인포로 오셔서 이름, 원하는 재료 를 말씀해주시면 됩니다. 재료비는 따로 개인 메세지를 통해 알려드리고 있고 결제는 목요일날 재료받으면서 합니다.",teacher,2024-07-02
16,13,8월 7일 안내,강사님의 개인 사정으로 8월 7일 수요일 수업 불가하셔서 다른 강사님이 수업을 진행할 예정입니다.,teacher,2024-07-02
17,17,휴강일 안내,8월 15일 광복절 16일 학원 휴일로 수업 없습니다.,teacher,2024-07-02
18,17,101호 실습실 고장안내,현재 101호 실습실 배수구 막힘으로 실습실 이용이 불가능합니다. 다른 실습실인 302호는 이용이 가능합니다. 실습실 수리 일정은 일주일정도가 걸릴 예정이라 다음주부터 사용가능합니다.,teacher,2024-07-02
19,17,재료와 도구 공구 안내,"강의에서 사용하는 도구는 학원 공동구매를 통해 구매가 가능합니다. 공동구매는 강의 마지막수업 전수업때 신청자를 받습니다. 재료 공동구매는 매주 월요일에서 화요일에 학원에서 신청내용을 받고있습니다. 신청을 원하시는분은 강사님께 말씀드려 신청하시거나 인포로 오셔서 이름, 원하는 재료 를 말씀해주시면 됩니다. 재료비는 따로 개인 메세지를 통해 알려드리고 있고 결제는 목요일날 재료받으면서 합니다.",teacher,2024-07-02
20,17,8월 7일 안내,강사님의 개인 사정으로 8월 7일 수요일 수업 불가하셔서 다른 강사님이 수업을 진행할 예정입니다.,teacher,2024-07-02
21,21,휴강일 안내,8월 15일 광복절 16일 학원 휴일로 수업 없습니다.,teacher,2024-07-02
22,21,101호 실습실 고장안내,현재 101호 실습실 배수구 막힘으로 실습실 이용이 불가능합니다. 다른 실습실인 302호는 이용이 가능합니다. 실습실 수리 일정은 일주일정도가 걸릴 예정이라 다음주부터 사용가능합니다.,teacher,2024-07-02
23,21,재료와 도구 공구 안내,"강의에서 사용하는 도구는 학원 공동구매를 통해 구매가 가능합니다. 공동구매는 강의 마지막수업 전수업때 신청자를 받습니다. 재료 공동구매는 매주 월요일에서 화요일에 학원에서 신청내용을 받고있습니다. 신청을 원하시는분은 강사님께 말씀드려 신청하시거나 인포로 오셔서 이름, 원하는 재료 를 말씀해주시면 됩니다. 재료비는 따로 개인 메세지를 통해 알려드리고 있고 결제는 목요일날 재료받으면서 합니다.",teacher,2024-07-02
24,21,8월 7일 안내,강사님의 개인 사정으로 8월 7일 수요일 수업 불가하셔서 다른 강사님이 수업을 진행할 예정입니다.,teacher,2024-07-02
25,25,휴강일 안내,8월 15일 광복절 16일 학원 휴일로 수업 없습니다.,teacher,2024-07-02
26,25,101호 실습실 고장안내,현재 101호 실습실 배수구 막힘으로 실습실 이용이 불가능합니다. 다른 실습실인 302호는 이용이 가능합니다. 실습실 수리 일정은 일주일정도가 걸릴 예정이라 다음주부터 사용가능합니다.,teacher,2024-07-02
27,25,재료와 도구 공구 안내,"강의에서 사용하는 도구는 학원 공동구매를 통해 구매가 가능합니다. 공동구매는 강의 마지막수업 전수업때 신청자를 받습니다. 재료 공동구매는 매주 월요일에서 화요일에 학원에서 신청내용을 받고있습니다. 신청을 원하시는분은 강사님께 말씀드려 신청하시거나 인포로 오셔서 이름, 원하는 재료 를 말씀해주시면 됩니다. 재료비는 따로 개인 메세지를 통해 알려드리고 있고 결제는 목요일날 재료받으면서 합니다.",teacher,2024-07-02
28,25,8월 7일 안내,강사님의 개인 사정으로 8월 7일 수요일 수업 불가하셔서 다른 강사님이 수업을 진행할 예정입니다.,teacher,2024-07-02
29,29,휴강일 안내,8월 15일 광복절 16일 학원 휴일로 수업 없습니다.,teacher,2024-07-02
30,29,101호 실습실 고장안내,현재 101호 실습실 배수구 막힘으로 실습실 이용이 불가능합니다. 다른 실습실인 302호는 이용이 가능합니다. 실습실 수리 일정은 일주일정도가 걸릴 예정이라 다음주부터 사용가능합니다.,teacher,2024-07-02
31,29,재료와 도구 공구 안내,"강의에서 사용하는 도구는 학원 공동구매를 통해 구매가 가능합니다. 공동구매는 강의 마지막수업 전수업때 신청자를 받습니다. 재료 공동구매는 매주 월요일에서 화요일에 학원에서 신청내용을 받고있습니다. 신청을 원하시는분은 강사님께 말씀드려 신청하시거나 인포로 오셔서 이름, 원하는 재료 를 말씀해주시면 됩니다. 재료비는 따로 개인 메세지를 통해 알려드리고 있고 결제는 목요일날 재료받으면서 합니다.",teacher,2024-07-02
32,29,8월 7일 안내,강사님의 개인 사정으로 8월 7일 수요일 수업 불가하셔서 다른 강사님이 수업을 진행할 예정입니다.,teacher,2024-07-02
